,start_time,end_time,p_values
565,1369183591.644043,1369183599.138672,0.0
566,1369183804.53125,1369183811.623047,0.0
567,1369183857.453125,1369183864.953125,0.0
568,1369183880.112305,1369183893.801757,0.0
569,1369183917.626831,1369183924.832031,0.0
570,1369184215.184815,1369184223.834961,0.0
571,1369184405.998169,1369184421.723632,0.038055
572,1369184841.384766,1369184849.351562,0.549872
573,1369184853.229493,1369184861.232422,1.0
574,1369185099.201172,1369185107.257812,0.557031
575,1369185328.13208,1369185335.737304,0.341388
576,1369185348.609375,1369185356.21875,0.999437
577,1369185563.317383,1369185570.8125,0.947259
578,1369185832.440918,1369185840.374145,1.0
579,1369185996.02295,1369186003.341797,0.021382
580,1369186211.03125,1369186218.072998,1.0
581,1369186286.642578,1369186294.613769,0.999848
582,1369186682.716065,1369186689.887695,1.0
583,1369186903.297974,1369186911.259765,1.0
584,1369186993.845703,1369187003.5,0.003964
585,1369187029.039063,1369187037.226562,1.0
586,1369187084.496582,1369187093.34375,1.0
587,1369187111.278321,1369187119.198242,0.032803
588,1369187269.6875,1369187277.446045,0.0
589,1369187999.288819,1369188006.480224,1.0
590,1369188080.046875,1369188089.05664,1.0
591,1369188106.654053,1369188117.429687,1.0
592,1369188206.739258,1369188214.141601,1.0
593,1369188295.159912,1369188302.77832,1.0
594,1369188335.16919,1369188348.613891,0.406694
595,1369188376.316162,1369188383.428711,0.327079
596,1369188661.511719,1369188668.683593,0.262632
597,1369188681.793946,1369188689.891601,0.349011
598,1369189086.069397,1369189093.350097,0.021099
599,1369189252.025391,1369189262.191223,1.0
600,1369189864.593018,1369189873.594482,0.0
601,1369190167.901245,1369190177.226562,1.0
602,1369190752.693848,1369190760.196289,1.0
603,1369190965.944336,1369190975.879882,0.838848
604,1369191005.065918,1369191014.395263,0.0
605,1369191340.498291,1369191348.733886,0.53642
606,1369191973.593018,1369191981.026367,0.998151
607,1369192077.389893,1369192087.28247,0.284334
608,1369192369.722657,1369192378.185547,1.0
609,1369192608.834473,1369192616.798584,1.0
610,1369192826.163819,1369192833.56665,0.296986
611,1369193429.345703,1369193438.127929,1.0
612,1369193458.709961,1369193466.17688,1.0
613,1369193954.484864,1369193961.677978,1.0
614,1369194133.879273,1369194143.824951,0.0
615,1369194421.926758,1369194430.487548,0.951777
616,1369194549.875977,1369194557.846679,0.0
617,1369194636.160157,1369194646.738586,0.0
618,1369194834.613282,1369194841.82373,0.209313
619,1369195099.083252,1369195106.357422,1.0
620,1369195566.523438,1369195573.645507,1.0
621,1369197003.080933,1369197011.385498,0.0
622,1369199154.281861,1369199161.5,0.0
623,1369199205.799805,1369199213.228515,0.0
624,1369200062.993164,1369200070.225586,0.0
625,1369200444.57605,1369200456.375244,0.0
626,1369201407.074219,1369201415.204101,0.0
