GPStime,snr,ifo,label
1253623803.789,7.715,L1,Fast_Scattering
1250619413.961,7.952,L1,Fast_Scattering
1238516534.875,48.688,L1,Fast_Scattering
1248984558.016,10.672,L1,Fast_Scattering
1253031080.984,9.648,L1,Fast_Scattering
1250437070.945,8.72,L1,Fast_Scattering
1243349540.883,8.809,L1,Fast_Scattering
1248983797.934,8.523,L1,Fast_Scattering
1242316171.125,7.914,L1,Fast_Scattering
1252098278.504,50.34,L1,Helix
1238736003.863,125.4,L1,Helix
1248397352.207,31.34,L1,Helix
1242096547.746,7.658,L1,Helix
1241874647.92,47.36,L1,Helix
1250380418.316,22.026,L1,Helix
1252143222.105,119.903,L1,Helix
1248037911.051,33.852,L1,Helix
